DATA:           	LANG:   	MIN_C:  	MAX_F:  	   NIST:	   BLUE:	NAME:
presemt-dev     	no-de   	      10	1.000000	  4.4066	  0.0861	centroid_presemt-dev_no-de_min_count=10_max_freq=1.000000
presemt-dev     	no-de   	      25	0.000100	  4.5700	  0.0938	centroid_presemt-dev_no-de_min_count=25_max_freq=0.000100
presemt-dev     	no-de   	      25	0.001000	  4.4144	  0.0904	centroid_presemt-dev_no-de_min_count=25_max_freq=0.001000
presemt-dev     	no-de   	      25	0.005000	  4.3871	  0.0869	centroid_presemt-dev_no-de_min_count=25_max_freq=0.005000
presemt-dev     	no-de   	      25	0.010000	  4.4388	  0.0908	centroid_presemt-dev_no-de_min_count=25_max_freq=0.010000
presemt-dev     	no-de   	      25	0.050000	  4.3574	  0.0835	centroid_presemt-dev_no-de_min_count=25_max_freq=0.050000
presemt-dev     	no-de   	      25	0.100000	  4.4149	  0.0879	centroid_presemt-dev_no-de_min_count=25_max_freq=0.100000
presemt-dev     	no-de   	      25	0.250000	  4.4006	  0.0860	centroid_presemt-dev_no-de_min_count=25_max_freq=0.250000
presemt-dev     	no-de   	      25	0.500000	  4.4036	  0.0861	centroid_presemt-dev_no-de_min_count=25_max_freq=0.500000
presemt-dev     	no-de   	      25	1.000000	  4.4036	  0.0861	centroid_presemt-dev_no-de_min_count=25_max_freq=1.000000
presemt-dev     	no-de   	      50	0.000100	  4.5700	  0.0938	centroid_presemt-dev_no-de_min_count=50_max_freq=0.000100
presemt-dev     	no-de   	      50	0.001000	  4.5758	  0.0923	centroid_presemt-dev_no-de_min_count=50_max_freq=0.001000
presemt-dev     	no-de   	      50	0.005000	  4.3689	  0.0875	centroid_presemt-dev_no-de_min_count=50_max_freq=0.005000
presemt-dev     	no-de   	      50	0.010000	  4.4239	  0.0899	centroid_presemt-dev_no-de_min_count=50_max_freq=0.010000
presemt-dev     	no-de   	      50	0.050000	  4.3612	  0.0840	centroid_presemt-dev_no-de_min_count=50_max_freq=0.050000
presemt-dev     	no-de   	      50	0.100000	  4.4001	  0.0860	centroid_presemt-dev_no-de_min_count=50_max_freq=0.100000
presemt-dev     	no-de   	      50	0.250000	  4.3887	  0.0852	centroid_presemt-dev_no-de_min_count=50_max_freq=0.250000
presemt-dev     	no-de   	      50	0.500000	  4.3946	  0.0852	centroid_presemt-dev_no-de_min_count=50_max_freq=0.500000
presemt-dev     	no-de   	      50	1.000000	  4.3946	  0.0852	centroid_presemt-dev_no-de_min_count=50_max_freq=1.000000
presemt-dev     	no-de   	     100	0.000100	  4.5700	  0.0938	centroid_presemt-dev_no-de_min_count=100_max_freq=0.000100
presemt-dev     	no-de   	     100	0.001000	  4.5670	  0.0927	centroid_presemt-dev_no-de_min_count=100_max_freq=0.001000
presemt-dev     	no-de   	     100	0.005000	  4.4341	  0.0902	centroid_presemt-dev_no-de_min_count=100_max_freq=0.005000
presemt-dev     	no-de   	     100	0.010000	  4.3504	  0.0837	centroid_presemt-dev_no-de_min_count=100_max_freq=0.010000
presemt-dev     	no-de   	     100	0.050000	  4.3566	  0.0845	centroid_presemt-dev_no-de_min_count=100_max_freq=0.050000
presemt-dev     	no-de   	     100	0.100000	  4.3921	  0.0858	centroid_presemt-dev_no-de_min_count=100_max_freq=0.100000
presemt-dev     	no-de   	     100	0.250000	  4.3978	  0.0843	centroid_presemt-dev_no-de_min_count=100_max_freq=0.250000
presemt-dev     	no-de   	     100	0.500000	  4.4007	  0.0843	centroid_presemt-dev_no-de_min_count=100_max_freq=0.500000
presemt-dev     	no-de   	     100	1.000000	  4.4007	  0.0843	centroid_presemt-dev_no-de_min_count=100_max_freq=1.000000
presemt-dev     	no-de   	     250	0.000100	  4.5700	  0.0938	centroid_presemt-dev_no-de_min_count=250_max_freq=0.000100
presemt-dev     	no-de   	     250	0.001000	  4.5700	  0.0938	centroid_presemt-dev_no-de_min_count=250_max_freq=0.001000
presemt-dev     	no-de   	     250	0.005000	  4.5736	  0.0928	centroid_presemt-dev_no-de_min_count=250_max_freq=0.005000
presemt-dev     	no-de   	     250	0.010000	  4.3757	  0.0882	centroid_presemt-dev_no-de_min_count=250_max_freq=0.010000
presemt-dev     	no-de   	     250	0.050000	  4.3219	  0.0835	centroid_presemt-dev_no-de_min_count=250_max_freq=0.050000
presemt-dev     	no-de   	     250	0.100000	  4.3225	  0.0837	centroid_presemt-dev_no-de_min_count=250_max_freq=0.100000
presemt-dev     	no-de   	     250	0.250000	  4.3243	  0.0825	centroid_presemt-dev_no-de_min_count=250_max_freq=0.250000
